timestamp,label,score,distance_m,bbox,brightness
20260216-163658,person,0.657,,"(222, 189, 363, 363)",1
20260216-163701,person,0.616,,"(222, 191, 362, 346)",1
20260216-163703,person,0.493,,"(224, 195, 363, 343)",1
20260216-163707,person,0.636,,"(225, 192, 361, 340)",1
20260216-163709,person,0.610,,"(225, 195, 360, 343)",1
20260216-163713,person,0.503,,"(226, 191, 364, 353)",1
20260216-163715,person,0.542,,"(229, 210, 361, 375)",1
20260216-163717,person,0.596,,"(228, 195, 364, 344)",1
20260216-163724,person,0.707,,"(233, 189, 379, 358)",1
20260216-165000,bus,0.911,,"(5, 71, 639, 474)",120
20260216-165002,bus,0.885,,"(4, 87, 639, 477)",120
20260216-165027,truck,0.661,,"(3, 101, 639, 476)",110
20260216-165035,bus,0.704,,"(2, 118, 639, 479)",102
20260216-165042,bus,0.605,,"(0, 136, 556, 479)",79
20260216-165044,bus,0.482,,"(3, 56, 527, 472)",99
20260216-165046,bus,0.737,,"(240, 107, 636, 474)",78
20260216-165048,bus,0.739,,"(222, 90, 639, 478)",74
20260216-165050,bus,0.797,,"(63, 68, 639, 474)",60
20260216-170249,truck,0.562,,"(0, 195, 639, 479)",79
20260216-170251,bus,0.682,,"(0, 96, 636, 477)",86
20260216-170304,bus,0.471,,"(2, 91, 639, 479)",56
20260216-170306,car,0.464,,"(2, 173, 639, 466)",91
20260216-170308,bus,0.464,,"(0, 72, 637, 473)",88
20260216-170312,bus,0.713,,"(4, 106, 638, 442)",115
20260216-170502,bus,0.831,,"(4, 57, 639, 473)",57
20260216-170511,bus,0.550,,"(4, 58, 639, 474)",57
20260216-170550,motorbike,0.538,,"(221, 402, 272, 462)",54
20260216-170601,motorbike,0.518,,"(160, 395, 215, 457)",67
20260216-170645,bus,0.905,,"(1, 198, 635, 479)",109
20260216-170647,bus,0.836,,"(2, 79, 635, 475)",62
20260216-170650,bus,0.866,,"(1, 53, 637, 477)",64
20260216-170652,bus,0.841,,"(1, 72, 639, 475)",50
20260216-170701,bus,0.518,,"(1, 105, 310, 479)",73
20260216-170703,bus,0.455,,"(2, 101, 631, 478)",67
20260216-170713,bus,0.907,,"(2, 109, 636, 479)",86
20260216-170716,bus,0.774,,"(7, 137, 638, 475)",98
20260216-170721,bus,0.738,,"(17, 134, 638, 475)",99
20260216-170723,bus,0.561,,"(17, 137, 637, 476)",96
20260216-171151,bus,0.863,,"(3, 61, 319, 238)",94
20260216-171153,bus,0.869,,"(2, 60, 319, 238)",94
20260216-171155,bus,0.823,,"(2, 30, 319, 237)",98
20260216-171200,bus,0.782,,"(0, 42, 319, 239)",81
20260216-171202,bus,0.845,,"(0, 41, 318, 238)",75
20260216-171204,bus,0.807,,"(0, 27, 318, 238)",87
20260216-171206,bus,0.916,,"(0, 28, 318, 238)",94
20260216-171210,bus,0.846,,"(1, 43, 319, 237)",97
20260216-171212,bus,0.703,,"(1, 28, 318, 237)",106
20260216-171221,bus,0.827,,"(0, 37, 318, 237)",60
20260216-171224,bus,0.901,,"(0, 34, 318, 237)",81
20260216-171226,bus,0.856,,"(2, 39, 319, 237)",93
20260216-171228,bus,0.718,,"(1, 58, 288, 239)",94
20260216-171235,bus,0.837,,"(1, 45, 319, 238)",44
20260216-171237,bus,0.858,,"(2, 34, 319, 238)",79
20260216-171244,bus,0.757,,"(1, 30, 271, 237)",56
20260216-171246,bus,0.754,,"(1, 31, 270, 237)",55
20260216-171250,bus,0.730,,"(1, 35, 269, 237)",57
20260216-171311,bus,0.798,,"(3, 40, 317, 237)",67
20260216-171314,bus,0.604,,"(3, 28, 275, 236)",109
20260216-171325,bus,0.767,,"(0, 45, 319, 238)",60
20260216-171330,truck,0.598,,"(1, 165, 318, 239)",85
20260216-171332,truck,0.672,,"(1, 165, 317, 239)",96
20260216-171548,bus,0.665,,"(0, 57, 319, 239)",139
20260216-171556,bus,0.668,,"(2, 67, 319, 239)",51
20260216-171601,bus,0.613,,"(1, 43, 319, 239)",125
20260216-171603,bus,0.526,,"(1, 33, 319, 239)",122
20260216-171605,bus,0.647,,"(0, 40, 153, 235)",128
20260216-171615,bus,0.539,,"(3, 36, 318, 239)",94
20260216-171621,car,0.561,,"(181, 106, 236, 167)",82
20260216-171624,bus,0.550,,"(5, 38, 234, 230)",97
20260216-171626,bus,0.758,,"(2, 39, 319, 239)",96
20260216-171631,bus,0.727,,"(0, 44, 316, 236)",97
20260216-171634,bus,0.835,,"(2, 39, 319, 239)",100
20260216-171650,bus,0.737,,"(1, 37, 300, 239)",103
20260216-171652,bus,0.713,,"(1, 39, 294, 239)",92
20260216-171715,bus,0.672,,"(0, 40, 317, 237)",40
